date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:26	81999/81999	---M--	200	added ('OK')	image/jpeg	etag:%22e57c45f8f5bc6b3f6fe5ebae641bc7db%22	https://cdn.biihappy.com/ziiweb/website/images/galleries/671e1073c905ba67e70da574/small.jpg	C:/xampp/htdocs/wedding/wedding/cdn.biihappy.com/ziiweb/website/images/galleries/671e1073c905ba67e70da574/small.jpg	(from https://trangtran/)
12:50:26	56198/56198	---M--	200	added ('OK')	image/jpeg	etag:%2266b6fc3a5be3a30c029ad740f0918782%22	https://cdn.biihappy.com/ziiweb/website/images/galleries/671e107f654deb6c4b0674ca/small.jpg	C:/xampp/htdocs/wedding/wedding/cdn.biihappy.com/ziiweb/website/images/galleries/671e107f654deb6c4b0674ca/small.jpg	(from https://trangtran/)
12:50:27	118706/118706	---M--	200	added ('OK')	image/jpeg	etag:%229eca139d1af2ed32bd0b8b04f4608e7f%22	https://cdn.biihappy.com/ziiweb/website/images/72a6f6ddf12eff535519940b5c3ecd0a.jpeg	C:/xampp/htdocs/wedding/wedding/cdn.biihappy.com/ziiweb/website/images/72a6f6ddf12eff535519940b5c3ecd0a.jpg	(from https://trangtran/)
12:50:27	277731/277731	---M--	200	added ('OK')	image/jpeg	etag:%22539d6d740e271ad28e4785ba93a8aae4%22	https://cdn.biihappy.com/ziiweb/website/images/templates/643d7aa30be61636f4051958/e5109b26ee0a64bac6932ac7e2414fea.jpg	C:/xampp/htdocs/wedding/wedding/cdn.biihappy.com/ziiweb/website/images/templates/643d7aa30be61636f4051958/e5109b26ee0a64bac6932ac7e2414fea.jpg	(from https://trangtran/)
12:50:27	219871/219871	---M--	200	added ('OK')	image/jpeg	etag:%2249c94b4e6b563288ad247a110a64dd79%22	https://cdn.biihappy.com/ziiweb/website/images/55b1ae4c3d3bf928757ba6cf7769b42e.jpeg	C:/xampp/htdocs/wedding/wedding/cdn.biihappy.com/ziiweb/website/images/55b1ae4c3d3bf928757ba6cf7769b42e.jpg	(from https://trangtran/)
12:50:27	95546/95546	---M--	200	added ('OK')	image/jpeg	etag:%225db651f5938efef54e0445826add3cb3%22	https://cdn.biihappy.com/ziiweb/website/images/a1c297f5f1f9afcadfbcb20833d03c52.jpeg	C:/xampp/htdocs/wedding/wedding/cdn.biihappy.com/ziiweb/website/images/a1c297f5f1f9afcadfbcb20833d03c52.jpg	(from https://trangtran/)
12:50:28	103336/103336	---M--	200	added ('OK')	image/jpeg	etag:%2227e8b10d05ffb19a9c74e664f6134b41%22	https://cdn.biihappy.com/ziiweb/website/images/56cc53add6c98324c9f32dfdcb2bb6d3.jpeg	C:/xampp/htdocs/wedding/wedding/cdn.biihappy.com/ziiweb/website/images/56cc53add6c98324c9f32dfdcb2bb6d3.jpg	(from https://trangtran/)
12:50:28	95431/95431	---M--	200	added ('OK')	image/jpeg	etag:%22e60c791ee2d860d0cddcece1df802cdd%22	https://cdn.biihappy.com/ziiweb/website/images/2ba3268fad8a0068a8bd4b5a2ee57e42.jpeg	C:/xampp/htdocs/wedding/wedding/cdn.biihappy.com/ziiweb/website/images/2ba3268fad8a0068a8bd4b5a2ee57e42.jpg	(from https://trangtran/)
12:50:28	167349/167349	---M--	200	added ('OK')	image/jpeg	etag:%22a2779b23bc786313c5f00d293e5882f5%22	https://cdn.biihappy.com/ziiweb/website/images/362e24dad3f18dd3bc062fa6f2bdc418.jpeg	C:/xampp/htdocs/wedding/wedding/cdn.biihappy.com/ziiweb/website/images/362e24dad3f18dd3bc062fa6f2bdc418.jpg	(from https://trangtran/)
12:50:28	62190/62190	---M--	200	added ('OK')	image/jpeg	etag:%22ea95315f20576d6d0ba3874b3fa76271%22	https://cdn.biihappy.com/ziiweb/website/images/160830668e4fbe9525bb2de70f446100.jpeg	C:/xampp/htdocs/wedding/wedding/cdn.biihappy.com/ziiweb/website/images/160830668e4fbe9525bb2de70f446100.jpg	(from https://trangtran/)
12:50:28	71938/71938	---M--	200	added ('OK')	image/jpeg	etag:%223168e68010e3fbcf1de16e5ad83416fd%22	https://cdn.biihappy.com/ziiweb/website/images/c3581c721e40cf73cf6279fc0ace5a17.jpeg	C:/xampp/htdocs/wedding/wedding/cdn.biihappy.com/ziiweb/website/images/stk.jpg	(from https://trangtran/)
12:50:29	196710/196710	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263c75cfe-30066%22	https://trangtran/common/calendar.js?v=20241021	C:/xampp/htdocs/wedding/wedding/trangtran/common/calendar484d.js	(from https://trangtran/)
12:50:29	33267/33267	---MCZ	200	added ('OK')	application/javascript	etag:W/%22670e3e18-81f3%22	https://trangtran/common/biicommon.min.js?v=20241021	C:/xampp/htdocs/wedding/wedding/trangtran/common/biicommon.min484d.js	(from https://trangtran/)
12:50:29	297316/297316	---MCZ	200	added ('OK')	application/javascript	etag:W/%22670e3e18-48964%22	https://trangtran/templates/template135/js/libs.js	C:/xampp/htdocs/wedding/wedding/trangtran/templates/template135/js/libs.js	(from https://trangtran/)
12:50:31	8154/8154	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d56880-1fda%22	https://trangtran/templates/template135/js/script.js	C:/xampp/htdocs/wedding/wedding/trangtran/templates/template135/js/script.js	(from https://trangtran/)
12:50:31	1340/1340	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d336e0-53c%22	https://trangtran/common/emoji-picker/js/insertTextAtCursor.js?v=20241021	C:/xampp/htdocs/wedding/wedding/trangtran/common/emoji-picker/js/insertTextAtCursor484d.js	(from https://trangtran/)
12:50:31	1021/1021	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d336e0-3fd%22	https://trangtran/common/emoji-picker/js/init.js?v=20241021	C:/xampp/htdocs/wedding/wedding/trangtran/common/emoji-picker/js/init484d.js	(from https://trangtran/)
12:50:32	121296/121296	---M--	200	added ('OK')	application/octet-stream	etag:%2264454cb0-1d9d0%22	https://trangtran/templates/template135/fonts/bootstrap-icons.woff2?24e3eb84d0bcaf83d77f904c78ac1f47	C:/xampp/htdocs/wedding/wedding/trangtran/templates/template135/fonts/bootstrap-iconsbf04.woff2	(from https://trangtran/templates/template135/css/libs.css)
12:50:32	164352/164352	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2264454cb0-28200%22	https://trangtran/templates/template135/fonts/bootstrap-icons.woff?24e3eb84d0bcaf83d77f904c78ac1f47	C:/xampp/htdocs/wedding/wedding/trangtran/templates/template135/fonts/bootstrap-iconsbf04.woff	(from https://trangtran/templates/template135/css/libs.css)
12:50:32	4024/4024	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264454cb0-fb8%22	https://trangtran/templates/template135/fonts/lg.eot?n1z373	C:/xampp/htdocs/wedding/wedding/trangtran/templates/template135/fonts/lgd641.eot	(from https://trangtran/templates/template135/css/libs.css)
12:50:32	4024/4024	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264454cb0-fb8%22	https://trangtran/templates/template135/fonts/lg.eot?	C:/xampp/htdocs/wedding/wedding/trangtran/templates/template135/fonts/lgd41d.eot	(from https://trangtran/templates/template135/css/libs.css)
12:50:32	3956/3956	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2264454cb0-f74%22	https://trangtran/templates/template135/fonts/lg.woff?n1z373	C:/xampp/htdocs/wedding/wedding/trangtran/templates/template135/fonts/lgd641.woff	(from https://trangtran/templates/template135/css/libs.css)
12:50:33	3880/3880	---M--	200	added ('OK')	application/octet-stream	etag:%2264454cb0-f28%22	https://trangtran/templates/template135/fonts/lg.ttf?n1z373	C:/xampp/htdocs/wedding/wedding/trangtran/templates/template135/fonts/lgd641.ttf	(from https://trangtran/templates/template135/css/libs.css)
12:50:33	8855/8855	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264454cb0-2297%22	https://trangtran/templates/template135/fonts/lg.svg?n1z373	C:/xampp/htdocs/wedding/wedding/trangtran/templates/template135/fonts/lgd641.svg	(from https://trangtran/templates/template135/css/libs.css)
12:50:33	5428/5428	---M--	200	added ('OK')	image/png	etag:%2264454cb0-1534%22	https://trangtran/templates/template135/img/vimeo-play.png	C:/xampp/htdocs/wedding/wedding/trangtran/templates/template135/img/vimeo-play.png	(from https://trangtran/templates/template135/css/libs.css)
12:50:33	4526/4526	---M--	200	added ('OK')	image/png	etag:%2264454cb0-11ae%22	https://trangtran/templates/template135/img/video-play.png	C:/xampp/htdocs/wedding/wedding/trangtran/templates/template135/img/video-play.png	(from https://trangtran/templates/template135/css/libs.css)
12:50:33	5177/5177	---M--	200	added ('OK')	image/png	etag:%2264454cb0-1439%22	https://trangtran/templates/template135/img/youtube-play.png	C:/xampp/htdocs/wedding/wedding/trangtran/templates/template135/img/youtube-play.png	(from https://trangtran/templates/template135/css/libs.css)
12:50:34	4178/4178	---M--	200	added ('OK')	image/gif	etag:%2264454cb0-1052%22	https://trangtran/templates/template135/img/loading.gif	C:/xampp/htdocs/wedding/wedding/trangtran/templates/template135/img/loading.gif	(from https://trangtran/templates/template135/css/libs.css)
12:50:34	312/312	---M--	200	added ('OK')	image/png	etag:%22be93f525885d6b578a4267a64599bff8%22	https://cdn.biihappy.com/ziiweb/images/static/common/searchicon.png	C:/xampp/htdocs/wedding/wedding/cdn.biihappy.com/ziiweb/images/static/common/searchicon.png	(from https://trangtran/templates/template135/css/style.css)
12:50:35	194699/194699	---M-Z	200	added ('OK')	text/css	etag:W/%222f88b-Yz6bIW1g1A6raHMXUTTpNbVU+JE%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.0/dist/css/bootstrap.min.css	C:/xampp/htdocs/wedding/wedding/cdn.jsdelivr.net/npm/bootstrap@5.2.0/dist/css/bootstrap.min.css	(from https://trangtran/rsvp)
12:50:35	100361/100361	---M--	200	added ('OK')	image/gif	etag:%2263c75cfe-18809%22	https://trangtran/album/heart.gif	C:/xampp/htdocs/wedding/wedding/trangtran/album/heart.gif	(from https://trangtran/rsvp)
12:50:35	112192/112192	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263c75cfe-1b640%22	https://trangtran/rsvp-template/script.js?v=20231217	C:/xampp/htdocs/wedding/wedding/trangtran/rsvp-template/script7625.js	(from https://trangtran/rsvp)
